ID,Species,capt_date,SL_mm,SL_size_class,sex,weight_g,height_mm,sample_type,area,Long,Lat,d15N,d13C,d34S,CN_ratio,comment1,comment2
BH-01802,E.lucius,2020-05-01,638,,m,1980,,Muscle,WRB,,,15.9966666666667,-16.9033333333333,9.47333333333333,3.08490152077622,|,
BH-01803,E.lucius,2019-11-24,600,,m,1900,,Muscle,WRB,,,15.7366666666667,-16.5666666666667,7.93666666666667,3.01527367653633,|,
BH-01804,E.lucius,2020-02-27,690,,m,2600,,Muscle,WRB,,,14.9366666666667,-17.29,9.31666666666667,3.06848130459327,|,
BH-01805,E.lucius,2020-02-27,670,,m,2500,,Muscle,WRB,,,15.8833333333333,-16.55,9.08666666666667,3.07116057937624,|,
BH-01806,E.lucius,2020-02-26,570,,m,1300,,Muscle,WRB,,,14.5566666666667,-16.76,8.12,3.08814842467372,|,
BH-01809,E.lucius,2020-02-26,520,,m,900,,Muscle,WRB,,,15.3966666666667,-16.85,7.92333333333333,3.05420998854485,|,
BH-01810,E.lucius,2020-02-26,750,,m,3200,,Muscle,WRB,,,15.7433333333333,-16.9866666666667,9.10666666666667,3.1602033968118,|,
BH-01811,E.lucius,2019-11-26,750,,f,4000,,Muscle,WRB,,,15.5733333333333,-16.8566666666667,8.44,3.03424556148012,|,
BH-01812,E.lucius,2019-11-22,1020,,f,8900,,Muscle,WRB,,,16.5566666666667,-18.74,11.89,3.02681771699185,|,
BH-01813,E.lucius,2020-05-01,682,,m,2580,,Muscle,WRB,,,15.29,-16.1,8.05,3.09329650753466,|,
BH-01816,E.lucius,2020-02-26,580,,m,1500,,Muscle,WRB,,,14.9533333333333,-16.1833333333333,9.17,3.36375727279865,|,
BH-01818,E.lucius,2020-02-26,520,,f,1000,,Muscle,WRB,,,15.0633333333333,-16.7566666666667,6.38,3.07074007661825,|,
BH-01819,E.lucius,2020-02-27,680,,m,2800,,Muscle,WRB,,,15.5133333333333,-17.3966666666667,9.62,3.26284245773072,|,
BH-01821,E.lucius,2019-12-05,590,,m,2000,,Muscle,WRB,,,14.67,-17.42,10.4733333333333,3.05003838086185,|,
BH-01824,E.lucius,2020-05-01,617,,m,1920,,Muscle,WRB,,,15.63,-16.7266666666667,8.55333333333333,3.29153794329187,|,
BH-01825,E.lucius,2020-02-26,770,,m,3300,,Muscle,WRB,,,15.9966666666667,-16.8533333333333,9.08,3.0942429122637,|,
BH-01828,E.lucius,2020-05-28,669,,m,2310,,Muscle,WRB,,,16.15,-17.25,8.95,3.23770358816305,|,
BH-01835,E.lucius,2020-02-26,820,,m,3800,,Muscle,WRB,,,15.1133333333333,-16.6666666666667,8.62,3.27143815333464,|,
BH-01837,E.lucius,2019-12-23,800,,f,6200,,Muscle,WRB,,,15.9933333333333,-17.4433333333333,8.82333333333333,3.25953085450801,|,
BH-01838,E.lucius,,1010,,f,8000,,Muscle,WRB,,,16.0233333333333,-19.0966666666667,11.7933333333333,3.22598626393765,|,
BH-01839,E.lucius,2019-12-23,780,,f,5800,,Muscle,WRB,,,15.6333333333333,-16.7966666666667,8.79666666666667,3.27688631400203,|,
BH-01841,E.lucius,2020-05-01,685,,m,2320,,Muscle,WRB,,,18.0866666666667,-19.2833333333333,11.4366666666667,3.27545653719909,|,
BH-01842,E.lucius,2020-05-01,578,,m,1680,,Muscle,WRB,,,16.1033333333333,-17,8.34,3.24876509097757,|,
BH-01845,E.lucius,,810,,m,3900,,Muscle,WRB,,,15.4633333333333,-18.4766666666667,10.16,3.21929877830753,|,
BH-01846,E.lucius,2020-02-16,880,,f,,,Muscle,NRB,,,16.9666666666667,-18.8733333333333,8.69,3.06656516102081,|,
BH-01848,E.lucius,2019-12-17,810,,f,4700,,Muscle,WRB,,,15.6966666666667,-16.92,11.4466666666667,3.15227824963829,|,
BH-01850,E.lucius,2020-02-14,910,,f,,,Muscle,NRB,,,16.4833333333333,-19.1133333333333,9.79666666666667,2.99182188984981,|,
BH-01851,E.lucius,2020-05-01,593,,m,1620,,Muscle,WRB,,,15.2966666666667,-16.5733333333333,7.83,3.26793017877718,|,
BH-01855,E.lucius,2020-05-01,722,,m,2500,,Muscle,WRB,,,15.9033333333333,-17.8533333333333,9.87666666666667,3.24026353777503,|,
BH-01856,E.lucius,2020-05-01,692,,m,2300,,Muscle,WRB,,,15.85,-16.9566666666667,11.4266666666667,3.1191639874988,|,
BH-01859,E.lucius,2020-05-01,639,,m,2080,,Muscle,WRB,,,15.39,-16.4566666666667,10.3,3.10601305619028,|,
BH-01860,E.lucius,2020-02-27,940,,f,7900,,Muscle,WRB,,,14.83,-17.18,9.78666666666667,3.2338188612053,|,
BH-01862,E.lucius,2020-02-27,690,,m,2300,,Muscle,WRB,,,16.2866666666667,-16.92,9.26,3.26512404846672,|,
BH-01863,E.lucius,2019-12-17,850,,f,5200,,Muscle,WRB,,,16.3166666666667,-17.27,8.82333333333333,3.30112074522236,|,
BH-01867,E.lucius,2019-11-23,820,,f,4800,,Muscle,WRB,,,16.5,-17.2066666666667,9.20333333333333,3.32575075368052,|,
BH-01868,E.lucius,2020-01-08,1010,,f,8700,,Muscle,WRB,,,16.3466666666667,-18.9333333333333,9.67666666666667,3.19231716842785,|,
BH-01869,E.lucius,2019-12-17,730,,f,3300,,Muscle,WRB,,,15.56,-16.515,8.7,3.24056590986763,Sample didnt fall into reactor |,
BH-01869,E.lucius,2019-12-17,730,,f,3300,,Muscle,WRB,,,15.56,-16.515,8.7,3.24056590986763,Sample measured together with sample before |,
BH-01869,E.lucius,2019-12-17,730,,f,3300,,Muscle,WRB,,,15.56,-16.515,8.7,3.24056590986763,|,
BH-01871,E.lucius,2020-05-28,833,,f,4400,,Muscle,WRB,,,16.0533333333333,-17.4233333333333,9.02,3.25243327084976,|,
BH-01872,E.lucius,2019-12-23,810,,f,5400,,Muscle,WRB,,,15.41,-17.0333333333333,8.2,3.20991549887269,|,
BH-01880,E.lucius,2020-11-08,600,,m,,,Muscle,GB,,,16.1566666666667,-17.725,11.1266666666667,3.12701643266482,|,
BH-01881,E.lucius,2020-11-08,600,,m,,,Muscle,GB,,,16.4233333333333,-16.985,11.575,3.09683041563087,|,
BH-01882,E.lucius,2020-11-12,670,,f,,,Muscle,GB,,,15.5433333333333,-16.4366666666667,8.24333333333333,3.20640363045073,|,
